title|website|description|created_by|last_modified_by
Aerospike|https://aerospike.com/|Aerospike|tabr|tabr
Airflow|https://airflow.apache.org/|Airflow|tabr|tabr
Amazon MemoryDB||Amazon MemoryDB|tabr|tabr
Amazon Redshift||Amazon Redshift|tabr|tabr
Amazon SageMaker Feature Store||Amazon SageMaker Feature Store|tabr|tabr
Amazon SageMaker||Amazon SageMaker|tabr|tabr
Apache Cassandra||Apache Cassandra|tabr|tabr
AWS Athena||AWS Athena|tabr|tabr
AWS CloudFormation||AWS CloudFormation|tabr|tabr
AWS CloudFront||AWS CloudFront|tabr|tabr
AWS Data Pipeline||AWS Data Pipeline|tabr|tabr
AWS DynamoDB||AWS DynamoDB|tabr|tabr
AWS EMR||AWS EMR|tabr|tabr
AWS Glue||AWS Glue|tabr|tabr
AWS Kinesis||AWS Kinesis|tabr|tabr
AWS Lambda||AWS Lambda|tabr|tabr
AWS S3||AWS S3|tabr|tabr
AWS SNS||AWS SNS|tabr|tabr
AWS SQS||AWS SQS|tabr|tabr
Clojure||Clojure|tabr|tabr
Consul||Consul|tabr|tabr
CouchBase||CouchBase|tabr|tabr
Dart||Dart|tabr|tabr
Databricks||Databricks|tabr|tabr
dbt||dbt|tabr|tabr
Docker||Docker|tabr|tabr
Druid||Druid|tabr|tabr
Elasticsearch||Elasticsearch|tabr|tabr
etcd||etcd|tabr|tabr
Exasol||Exasol|tabr|tabr
Flink||Flink|tabr|tabr
Go||Go|tabr|tabr
Google BigQuery||Google BigQuery|tabr|tabr
GraphQL||GraphQL|tabr|tabr
Hadoop||Hadoop|tabr|tabr
Haskell||Haskell|tabr|tabr
Hazelcast||Hazelcast|tabr|tabr
HBase||HBase|tabr|tabr
HDFS||HDFS|tabr|tabr
Java||Java|tabr|tabr
JavaScript||JavaScript|tabr|tabr
Kafka||Kafka|tabr|tabr
Kotlin||Kotlin|tabr|tabr
Kubernetes||Kubernetes|tabr|tabr
Memcached||Memcached|tabr|tabr
MongoDB||MongoDB|tabr|tabr
MySQL||MySQL|tabr|tabr
Nakadi|https://nakadi.io|Nakadi|tabr|tabr
OpenAPI (Swagger)||OpenAPI (Swagger)|tabr|tabr
OpenTracing||OpenTracing|tabr|tabr
Oracle DB||Oracle DB|tabr|tabr
PostgreSQL||PostgreSQL|tabr|tabr
Presto||Presto|tabr|tabr
Python||Python|tabr|tabr
R|R||tabr|tabr
RabbitMQ||RabbitMQ|tabr|tabr
Redis||Redis|tabr|tabr
RocksDB||RocksDB|tabr|tabr
Rust||Rust|tabr|tabr
Scala||Scala|tabr|tabr
Skipper||Skipper|tabr|tabr
Slurm||Slurm|tabr|tabr
Solr||Solr|tabr|tabr
Spark||Spark|tabr|tabr
STUPS||STUPS|tabr|tabr
Swift||Swift|tabr|tabr
TypeScript||TypeScript|tabr|tabr
WebAssembly||WebAssembly|tabr|tabr
YARN||YARN|tabr|tabr
ZMON||ZMON|tabr|tabr
ZooKeeper||ZooKeeper|tabr|tabr
